n,cov_cls,cov_ppi,cov_oppi,cov_wppi,mse_cls,mse_wppi,ess_wppi
50,0.7352000000000001,0.8304,0.8824,0.8536,0.005522335559769999,0.002895409312408349,1.3179138419313143
100,0.6072000000000001,0.8328,0.8856,0.852,0.004040748512750724,0.001535450949396477,1.308397821836259
200,0.4616,0.8376,0.8927999999999999,0.8616,0.003110260143439518,0.0007581391265662929,1.2808120367718792
300,0.36960000000000004,0.8432000000000001,0.916,0.86,0.0025723065751226386,0.0004966103151732411,1.2996010289735862
400,0.232,0.772,0.884,0.8232,0.0027616831514169463,0.0004608549010204032,1.2867295715514406
500,0.14,0.7744000000000001,0.9007999999999999,0.8151999999999999,0.002693278371647466,0.00037324584910071234,1.273164644313075
