n,two_term,bootstrap,crossfit,t_quantile,crossfit_t,bootstrap_crossfit,best
50,0.8488,0.8712,0.8623999999999999,0.8584,0.8687999999999999,0.8544,0.8687999999999999
100,0.8592000000000001,0.8664,0.8672000000000001,0.8623999999999999,0.872,0.8575999999999999,0.872
200,0.8655999999999999,0.8784,0.868,0.8664,0.8712,0.8647999999999999,0.8712
300,0.8672000000000001,0.8752000000000001,0.8672000000000001,0.8696,0.868,0.8623999999999999,0.868
400,0.8215999999999999,0.824,0.8215999999999999,0.8224,0.8215999999999999,0.8128,0.8215999999999999
500,0.8168,0.828,0.82,0.8176,0.8216,0.808,0.8216
