n,config_hash,ess_prop1,ess_reweight_cost,ess_old_conflated
50,749422ff,1.594130674653716,0.8582118208886047,1.302732476707424
100,749422ff,1.5403885171379283,0.8688518264127777,1.2982882117764956
200,749422ff,1.503669671180021,0.8751332586843055,1.2731977737237263
300,749422ff,1.5065838062911425,0.8897341495021451,1.3005117347252513
400,749422ff,1.5034031821410934,0.8830159093400086,1.2893225958184384
500,749422ff,1.4890926645913112,0.8761562073578218,1.2717864211076875
