n,config_hash,cov_oracle,cov_learned,cov_ppi,cov_cls,wins_oracle_vs_learned,wins_learned_vs_ppi,maxmin_oracle,maxmin_learned,chi2_oracle,chi2_learned,kish_oracle,kish_learned
50,4ff2fbdc,0.8824,0.852,0.8304,0.7352000000000001,0.204,0.14,2.1189815998077393,2.0626418622993286,0.05360732227563858,0.04698281883927568,47.46657943725586,48.10853086870477
100,4ff2fbdc,0.8856,0.86,0.8328,0.6072000000000001,0.22,0.144,2.2437291145324707,2.0607984451513413,0.054306510835886,0.038125641250099644,94.85826873779297,96.67792704035773
200,4ff2fbdc,0.8927999999999999,0.8655999999999999,0.8376,0.4616,0.22,0.152,2.3378775119781494,2.1297843745230582,0.05516904592514038,0.030086872852688355,189.55348205566406,194.52001346781083
300,4ff2fbdc,0.916,0.8672000000000001,0.8432000000000001,0.36960000000000004,0.28,0.128,2.376757860183716,2.131369468002048,0.05610969290137291,0.022656715176764507,284.071533203125,293.5705050244839
400,4ff2fbdc,0.884,0.8224000000000001,0.772,0.232,0.308,0.216,2.405845880508423,2.1413314114727884,0.055813658982515335,0.020864206603350557,378.8653869628906,391.9781406644889
500,4ff2fbdc,0.9007999999999999,0.8152,0.7744000000000001,0.14,0.416,0.208,2.418903350830078,2.351634035564207,0.05554245784878731,0.024028687505756343,473.70269775390625,488.55872687172433
