n,cov_cls,cov_ppi,cov_wppi,mse_cls,mse_wppi,ess_wppi
200,0.21028571428571427,0.20114285714285712,0.8731428571428571,0.5642524766320154,0.04425627339360653,2.6384668332674317
400,0.05714285714285715,0.037714285714285714,0.8828571428571429,0.4814793620551194,0.023525509421321415,2.1469765822785054
600,0.0034285714285714284,0.006857142857142857,0.8245714285714285,0.48253465994935163,0.02224862531682889,1.9784468855998765
800,0.0,0.0017142857142857142,0.7954285714285715,0.49003834354369674,0.01905644291376327,1.8861983350350482
1000,0.0,0.0,0.7862857142857143,0.47684421787250025,0.01681112143928779,1.7694046386827738
1500,0.0,0.0,0.7325714285714287,0.4726906816548065,0.014014333392974487,1.6747726298406456
