n,two_term,bootstrap,crossfit,t_quantile,crossfit_t
200,0.4262857142857143,0.39714285714285713,0.41657142857142854,0.428,0.4177142857142857
400,0.20171428571428573,0.17142857142857137,0.21085714285714283,0.2022857142857143,0.21257142857142855
600,0.12914285714285714,0.10057142857142856,0.1257142857142857,0.12971428571428573,0.1257142857142857
800,0.06285714285714286,0.04914285714285715,0.068,0.06342857142857143,0.068
1000,0.03314285714285714,0.025714285714285714,0.03314285714285714,0.03314285714285714,0.03314285714285714
1500,0.008,0.004571428571428571,0.007999999999999998,0.008,0.007999999999999998
